# bin-nr bin-center(r) g(r)
0.000000 0.050000 0.000000
1.000000 0.150000 0.000000
2.000000 0.250000 0.000000
3.000000 0.350000 0.000000
4.000000 0.450000 0.000000
5.000000 0.550000 0.000000
6.000000 0.650000 0.000000
7.000000 0.750000 0.000000
8.000000 0.850000 0.000000
9.000000 0.950000 0.171253
10.000000 1.050000 1.261892
11.000000 1.150000 2.133438
12.000000 1.250000 1.533792
13.000000 1.350000 0.912071
14.000000 1.450000 0.992915
15.000000 1.550000 0.756328
16.000000 1.650000 0.852073
17.000000 1.750000 0.883752
18.000000 1.850000 0.790816
19.000000 1.950000 0.742309
20.000000 2.050000 0.699272
21.000000 2.150000 0.861605
22.000000 2.250000 0.931858
23.000000 2.350000 0.868254
24.000000 2.450000 0.927676
25.000000 2.550000 0.856353
26.000000 2.650000 0.996694
27.000000 2.750000 0.986894
28.000000 2.850000 0.804598
29.000000 2.950000 0.870957
30.000000 3.050000 0.935342
31.000000 3.150000 0.904184
32.000000 3.250000 0.918965
33.000000 3.350000 0.847695
34.000000 3.450000 0.818763
35.000000 3.550000 0.951268
36.000000 3.650000 0.984041
37.000000 3.750000 0.855261
38.000000 3.850000 0.973171
39.000000 3.950000 1.026146
40.000000 4.050000 1.063337
41.000000 4.150000 1.001484
42.000000 4.250000 0.974182
43.000000 4.350000 1.124065
44.000000 4.450000 1.056539
